,該年排名,片名,link,產地,發行商,票房（港元）,2023dollars,
2023,1,毒舌大狀,https://zh.wikipedia.org/wiki/%E6%AF%92%E8%88%8C%E5%A4%A7%E7%8B%80,香港,安樂影片,"$115,060,394",105.5,"$1,090,620"
1996,1,警察故事4之簡單任務,https://zh.wikipedia.org/wiki/%E8%AD%A6%E5%AF%9F%E6%95%85%E4%BA%8B4%E4%B9%8B%E7%B0%A1%E5%96%AE%E4%BB%BB%E5%8B%99,香港,嘉樂影片發行,"$57,518,795",70.5,"$5,711,328,750"
1995,1,紅番區,https://zh.wikipedia.org/wiki/%E7%B4%85%E7%95%AA%E5%8D%80,香港,嘉樂影片發行,"$56,912,536",66.3,"$858,409"
2016,1,美人魚,https://zh.wikipedia.org/wiki/%E7%BE%8E%E4%BA%BA%E9%AD%9A_(2016%E5%B9%B4%E9%9B%BB%E5%BD%B1),中國大陸、香港,安樂影片,"$56,225,252",93.2,"$603,275"
2008,1,長江7號,https://zh.wikipedia.org/wiki/%E9%95%B7%E6%B1%9F7%E8%99%9F,中國大陸、香港,哥倫比亞影業,"$51,440,832",71.9,"$715,450"
1992,1,家有囍事,https://zh.wikipedia.org/wiki/%E5%AE%B6%E6%9C%89%E5%9B%8D%E4%BA%8B,香港,永高院線,"$48,992,188",51.3,"$955,013"
1997,1,一個好人,https://zh.wikipedia.org/wiki/%E4%B8%80%E5%80%8B%E5%A5%BD%E4%BA%BA,香港,嘉樂影片發行,"$45,420,457",74.6,"$608,853"
2018,1,棟篤特工,https://zh.wikipedia.org/wiki/%E6%A3%9F%E7%AF%A4%E7%89%B9%E5%B7%A5,香港,中國3D數碼娛樂,"$45,257,869",96.8,"$467,540"
2014,1,金雞SSS,https://zh.wikipedia.org/wiki/%E9%87%91%E9%9B%9ESSS,香港,安樂影片,"$41,277,620",88.3,"$467,470"
1994,1,醉拳II,https://zh.wikipedia.org/wiki/%E9%86%89%E6%8B%B3II,香港,嘉樂影片發行,"$41,046,234",60.8,"$675,103"
